#100개 구간 상세:
#   구간      sweep 시작       sweep 끝      데이터 수               구간 평균         구간 표준편차
#--------------------------------------------------------------------------------
    1           0.0         655.3         342       12972261.7664        109.0799
    2         655.3        1310.7         350       12972259.7334        104.9379
    3        1310.7        1966.0         380       12972257.8661        111.1468
    4        1966.0        2621.4         341       12972263.5812        112.9001
    5        2621.4        3276.7         337       12972265.6323        118.9580
    6        3276.7        3932.0         355       12972252.2670        110.3341
    7        3932.0        4587.4         344       12972256.5169        105.8514
    8        4587.4        5242.7         373       12972272.2743        109.7717
    9        5242.7        5898.1         367       12972262.4101        110.9153
   10        5898.1        6553.4         360       12972265.8575        110.8019
   11        6553.4        7208.7         357       12972263.1804        110.0273
   12        7208.7        7864.1         331       12972253.1369        102.6651
   13        7864.1        8519.4         372       12972265.5237        100.1192
   14        8519.4        9174.8         350       12972266.8534        109.2257
   15        9174.8        9830.1         339       12972265.3053        104.4655
   16        9830.1       10485.4         360       12972264.6172         94.3082
   17       10485.4       11140.8         366       12972262.3052        102.3092
   18       11140.8       11796.1         365       12972266.1649        101.4059
   19       11796.1       12451.5         327       12972268.8190        104.3826
   20       12451.5       13106.8         362       12972270.7025         90.4435
   21       13106.8       13762.1         347       12972282.2124        101.8862
   22       13762.1       14417.5         357       12972279.5549         84.5903
   23       14417.5       15072.8         352       12972282.1378         88.0078
   24       15072.8       15728.2         370       12972284.2576         88.7974
   25       15728.2       16383.5         356       12972270.9713         89.0767
   26       16383.5       17038.8         343       12972280.1574         90.7746
   27       17038.8       17694.2         352       12972275.4679         86.0878
   28       17694.2       18349.5         363       12972271.6176         88.9140
   29       18349.5       19004.9         374       12972266.4388         87.0859
   30       19004.9       19660.2         376       12972268.2606         92.7595
   31       19660.2       20315.5         330       12972274.2455         86.9198
   32       20315.5       20970.9         358       12972273.3670         89.0883
   33       20970.9       21626.2         357       12972271.6725         88.9160
   34       21626.2       22281.6         359       12972281.1334        101.2906
   35       22281.6       22936.9         345       12972279.6690         94.1248
   36       22936.9       23592.2         360       12972261.7786         92.3881
   37       23592.2       24247.6         359       12972266.5602         86.1816
   38       24247.6       24902.9         341       12972268.9150         92.3894
   39       24902.9       25558.3         366       12972266.4377         88.0583
   40       25558.3       26213.6         367       12972265.5853         91.0457
   41       26213.6       26868.9         353       12972273.6235         95.2420
   42       26868.9       27524.3         356       12972269.5256         90.6981
   43       27524.3       28179.6         339       12972271.0463         85.8568
   44       28179.6       28835.0         208       12972215.0250         71.4923
   45       28835.0       29490.3         191       12972221.6209         35.9531
   46       29490.3       30145.6         168       12972240.9631         29.0761
   47       30145.6       30801.0         176       12972256.1648         49.3976
   48       30801.0       31456.3         180       12972269.4533         35.2179
   49       31456.3       32111.7         185       12972278.9946         16.8629
   50       32111.7       32767.0         178       12972308.4483         44.3500
   51       32767.0       33422.3         172       12972309.8122         26.8128
   52       33422.3       34077.7         160       12972313.9231         13.2974
   53       34077.7       34733.0         174       12972323.3805         22.2923
   54       34733.0       35388.4         171       12972329.8971         23.7203
   55       35388.4       36043.7         179       12972330.2743         17.4865
   56       36043.7       36699.0         181       12972339.3276         44.0937
   57       36699.0       37354.4         178       12972337.4719         35.7254
   58       37354.4       38009.7         181       12972342.6724         34.8216
   59       38009.7       38665.1         190       12972342.5989         38.3140
   60       38665.1       39320.4         171       12972340.0503         40.7327
   61       39320.4       39975.7         169       12972338.7604         39.8343
   62       39975.7       40631.1         184       12972344.7288         38.9582
   63       40631.1       41286.4         175       12972345.9149         26.6562
   64       41286.4       41941.8         177       12972339.3096         31.3293
   65       41941.8       42597.1         189       12972336.7847         35.8765
   66       42597.1       43252.4         184       12972332.9293         22.9723
   67       43252.4       43907.8         191       12972324.1602         31.3091
   68       43907.8       44563.1         185       12972319.6124         17.4645
   69       44563.1       45218.5         177       12972307.6689         32.2459
   70       45218.5       45873.8         184       12972306.8212         33.7944
   71       45873.8       46529.1         190       12972311.2921         39.3067
   72       46529.1       47184.5         159       12972315.6805         22.6034
   73       47184.5       47839.8         180       12972330.2172         41.7918
   74       47839.8       48495.2         175       12972335.5309         45.8639
   75       48495.2       49150.5         180       12972330.7944         18.1518
   76       49150.5       49805.8         173       12972331.5815         27.5924
   77       49805.8       50461.2         192       12972333.5589         10.4260
   78       50461.2       51116.5         183       12972338.1158         16.6761
   79       51116.5       51771.9         183       12972340.0798         14.5472
   80       51771.9       52427.2         177       12972338.8345          8.1019
   81       52427.2       53082.5         181       12972340.8055         31.4106
   82       53082.5       53737.9         164       12972340.8744         28.5376
   83       53737.9       54393.2         163       12972340.1933         19.4947
   84       54393.2       55048.6         185       12972346.2968         38.1391
   85       55048.6       55703.9         183       12972350.2120         35.1503
   86       55703.9       56359.2         192       12972362.0188         36.2490
   87       56359.2       57014.6         177       12972353.2554         13.3455
   88       57014.6       57669.9         179       12972354.4145         11.5159
   89       57669.9       58325.3         177       12972356.8299         14.9734
   90       58325.3       58980.6         185       12972357.1811         30.5141
   91       58980.6       59635.9         184       12972354.2832         10.9653
   92       59635.9       60291.3         174       12972360.3730         20.0737
   93       60291.3       60946.6         180       12972359.1117         30.9154
   94       60946.6       61602.0         174       12972358.8333         40.4545
   95       61602.0       62257.3         174       12972354.1649         14.1147
   96       62257.3       62912.6         161       12972356.5199         36.0019
   97       62912.6       63568.0         184       12972360.2060         46.8141
   98       63568.0       64223.3         191       12972352.0031          6.8792
   99       64223.3       64878.7         170       12972357.4382         20.2876
  100       64878.7       65534.0         181       12972360.6779         20.0075
